bar_utc,snapshots,imb1_last,imb3_last,imb5_last,imb_all_last,imb5_mean,imb5_std,depth_ratio_last,depth_ratio_mean,walls_max,spread_mean,microprice_last,flow_sum
1787046300,62,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.629677,64132.374926,0.0
1787046600,9,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.174444,64138.083442,0.0
1787046900,100,0.6667,0.4615,0.16,-0.0001,0.1568,0.0318,1.0002,1.0002,2,12.6411,64146.722249,0.0
1787047200,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.716566,64175.062361,0.0
1787047500,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.7431,64131.289375,0.0
1787047500,67,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.702687,64131.289375,0.0
1787047800,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.4465,64130.409714,0.0
1787048100,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.6619,64145.605236,0.0
1787048400,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.202424,64122.257924,0.0
1787048700,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.7073,64139.049029,0.0
1787049000,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.5003,64165.848897,0.0
1787049300,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.670707,64178.123803,0.0
1787049600,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,11.9903,64158.38184,0.0
1787049900,38,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.304211,64175.321282,0.0
1787050200,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.4888,64177.740744,0.0
1787050500,99,0.6667,0.4615,0.16,-0.0001,0.1568,0.032,1.0002,1.0002,2,12.426061,64174.603473,0.0
1787050800,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.7393,64269.504991,0.0
1787051100,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,13.069,64268.086861,0.0
1787051400,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.776061,64301.020619,0.0
1787051700,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.3047,64305.055495,0.0
1787052000,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.6426,64348.501736,0.0
1787052300,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.5868,64345.145395,0.0
1787052600,99,0.6667,0.4615,0.16,-0.0001,0.1568,0.032,1.0002,1.0002,2,12.544545,64350.507394,0.0
1787052900,90,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.559,64349.433737,0.0
1787053200,100,0.6667,0.4615,0.16,-0.0001,0.1568,0.0318,1.0002,1.0002,2,12.4462,64360.051984,0.0
1787053500,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.517677,64331.883947,0.0
1787053800,26,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.465,64320.866819,0.0
1787054100,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.5425,64324.97816,0.0
1787054400,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.3902,64315.69105,0.0
1787054700,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.5292,64269.990183,0.0
1787055000,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.514242,64270.833657,0.0
1787055300,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.0077,64263.015247,0.0
1787055600,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.2254,64268.084234,0.0
1787055900,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.1134,64273.816704,0.0
1787056200,99,0.6667,0.4615,0.16,-0.0001,0.1589,0.0105,1.0002,1.0002,2,12.610707,64275.381409,0.0
1787056500,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.5413,64234.771864,0.0
1787056800,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.2331,64221.492211,0.0
1787057100,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.6764,64220.462323,0.0
1787057400,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.471414,64212.729508,0.0
1787057700,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.3892,64195.227951,0.0
1787058000,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.3444,64151.559945,0.0
1787058300,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.324343,64142.091526,0.0
1787058600,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.4857,64162.411243,0.0
1787058900,100,0.6667,0.4615,0.16,-0.0001,0.1568,0.0318,1.0002,1.0002,2,12.2611,64100.748688,0.0
1787059200,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.4882,64056.348543,0.0
1787059500,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.397778,64041.31705,0.0
1787059800,100,0.6667,0.4615,0.16,-0.0001,0.1568,0.018,1.0002,1.0002,2,12.4225,64065.510734,0.0
1787060100,100,0.6667,0.4615,0.16,-0.0001,0.1579,0.0148,1.0002,1.0002,2,12.2856,64197.212585,0.0
1787060400,100,0.6667,0.4615,0.16,-0.0001,0.1589,0.0105,1.0002,1.0002,2,12.42,64162.34592,0.0
1787060700,99,0.6667,0.4615,0.16,-0.0001,0.1591,0.0348,1.0002,1.0002,2,12.444444,64206.47611,0.0
1787061000,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.3133,64105.238442,0.0
1787061300,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.5655,64190.845767,0.0
1787061600,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.634949,64341.683453,0.0
1787061900,100,0.6667,0.4615,0.16,-0.0001,0.1536,0.0448,1.0002,1.0002,2,12.3793,64266.984297,0.0
1787062200,100,0.6667,0.4615,0.16,-0.0001,0.1608,0.0076,1.0002,1.0002,2,12.3278,64230.628769,0.0
1787062500,100,0.6667,0.4615,0.16,-0.0001,0.1589,0.0105,1.0002,1.0002,2,12.46,64430.769065,0.0
1787062800,99,0.6667,0.4615,0.16,-0.0001,0.1568,0.0181,1.0002,1.0002,2,12.764141,64694.821805,0.0
1787063100,100,0.6667,0.4615,0.16,-0.0001,0.1579,0.0148,1.0002,1.0002,2,12.851,64962.52825,0.0
1787063400,100,0.6667,0.4615,0.16,-0.0001,0.1594,0.0184,1.0002,1.0002,2,12.4357,64775.645444,0.0
1787063700,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.1384,64739.174256,0.0
1787064000,99,0.6667,0.4615,0.16,-0.0001,0.1583,0.0339,1.0002,1.0002,2,12.248182,64757.595357,0.0
1787064300,100,0.6667,0.4615,0.16,-0.0001,0.1608,0.0076,1.0002,1.0002,2,12.5416,64772.307574,0.0
1787064600,100,0.6667,0.5484,0.2364,-0.0001,0.1608,0.0076,1.0002,1.0002,2,12.3984,64713.226505,0.0764
1787064900,99,0.6667,0.4615,0.16,-0.0001,0.1583,0.0339,1.0002,1.0002,2,12.184545,64686.979828,0.0
1787065200,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.7334,64758.73496,0.0
1787065500,100,0.6667,0.4615,0.16,-0.0001,0.1597,0.013,1.0002,1.0002,2,12.4201,64649.778862,0.0
1787065800,100,0.6667,0.4615,0.16,-0.0001,0.1589,0.0105,1.0002,1.0002,2,12.6219,64705.987727,0.0
1787066100,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.653131,64731.6161,0.0
1787066400,100,0.6667,0.4615,0.16,-0.0001,0.1608,0.0076,1.0002,1.0002,2,12.6559,64730.257193,0.0
1787066700,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.6897,64768.990175,0.0
1787067000,90,0.6667,0.4615,0.16,-0.0001,0.1564,0.0335,1.0002,1.0002,2,12.549444,64836.623952,0.0
1787067300,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.521414,64814.971421,0.0
1787067600,100,0.6667,0.4615,0.16,-0.0001,0.1568,0.0318,1.0002,1.0002,2,12.7002,64783.42747,0.0
1787067900,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.6432,64796.48713,0.0
1787068200,99,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.859697,64827.661064,0.0
1787068500,100,0.6667,0.4615,0.16,-0.0001,0.16,0.0,1.0002,1.0002,2,12.8899,64825.5159,0.0
