symbol,ts,open,high,low,close,volume
AMD,2026-08-26T09:30:00-04:00,100.0000,100.0125,100.0000,100.0125,20000
AMD,2026-08-26T09:31:00-04:00,100.0125,100.0500,99.9875,100.0250,20000
AMD,2026-08-26T09:32:00-04:00,100.0250,100.0375,100.0250,100.0375,20000
AMD,2026-08-26T09:33:00-04:00,100.0375,100.0750,100.0125,100.0500,20000
AMD,2026-08-26T09:34:00-04:00,100.0500,100.0500,100.0500,100.0500,20000
AMD,2026-08-26T09:35:00-04:00,100.0500,100.0625,100.0500,100.0625,20000
AMD,2026-08-26T09:36:00-04:00,100.0625,100.1000,100.0375,100.0750,20000
AMD,2026-08-26T09:37:00-04:00,100.0750,100.0875,100.0750,100.0875,20000
AMD,2026-08-26T09:38:00-04:00,100.0875,100.1250,100.0625,100.1000,20000
AMD,2026-08-26T09:39:00-04:00,100.1000,100.1000,100.1000,100.1000,20000
AMD,2026-08-26T09:40:00-04:00,100.1000,100.1125,100.1000,100.1125,20000
AMD,2026-08-26T09:41:00-04:00,100.1125,100.1500,100.0875,100.1250,20000
AMD,2026-08-26T09:42:00-04:00,100.1250,100.1375,100.1250,100.1375,20000
AMD,2026-08-26T09:43:00-04:00,100.1375,100.1750,100.1125,100.1500,20000
AMD,2026-08-26T09:44:00-04:00,100.1500,100.1500,100.1500,100.1500,20000
AMD,2026-08-26T09:45:00-04:00,100.1500,100.1750,100.1500,100.1750,16000
AMD,2026-08-26T09:46:00-04:00,100.1750,100.2250,100.1500,100.2000,16000
AMD,2026-08-26T09:47:00-04:00,100.2000,100.2250,100.2000,100.2250,16000
AMD,2026-08-26T09:48:00-04:00,100.2250,100.2750,100.2000,100.2500,16000
AMD,2026-08-26T09:49:00-04:00,100.2500,100.2500,100.2500,100.2500,16000
AMD,2026-08-26T09:50:00-04:00,100.2500,100.4125,100.2500,100.4125,44000
AMD,2026-08-26T09:51:00-04:00,100.4125,100.6250,100.3975,100.5750,44000
AMD,2026-08-26T09:52:00-04:00,100.5750,100.7375,100.5750,100.7375,44000
AMD,2026-08-26T09:53:00-04:00,100.7375,100.9500,100.7225,100.9000,44000
AMD,2026-08-26T09:54:00-04:00,100.9000,100.9000,100.9000,100.9000,44000
AMD,2026-08-26T09:55:00-04:00,100.9000,101.0125,100.9000,101.0125,52000
AMD,2026-08-26T09:56:00-04:00,101.0125,101.1750,100.9875,101.1250,52000
AMD,2026-08-26T09:57:00-04:00,101.1250,101.2375,101.1250,101.2375,52000
AMD,2026-08-26T09:58:00-04:00,101.2375,101.4000,101.2125,101.3500,52000
AMD,2026-08-26T09:59:00-04:00,101.3500,101.3500,101.3500,101.3500,52000
AMD,2026-08-26T10:00:00-04:00,101.3500,101.3500,101.2875,101.2875,14000
AMD,2026-08-26T10:01:00-04:00,101.2875,101.3125,101.2000,101.2250,14000
AMD,2026-08-26T10:02:00-04:00,101.2250,101.2250,101.1625,101.1625,14000
AMD,2026-08-26T10:03:00-04:00,101.1625,101.1875,101.0750,101.1000,14000
AMD,2026-08-26T10:04:00-04:00,101.1000,101.1000,101.1000,101.1000,14000
AMD,2026-08-26T10:05:00-04:00,101.1000,101.1000,101.0375,101.0375,11000
AMD,2026-08-26T10:06:00-04:00,101.0375,101.0625,100.9500,100.9750,11000
AMD,2026-08-26T10:07:00-04:00,100.9750,100.9750,100.9125,100.9125,11000
AMD,2026-08-26T10:08:00-04:00,100.9125,100.9375,100.8250,100.8500,11000
AMD,2026-08-26T10:09:00-04:00,100.8500,100.8500,100.8500,100.8500,11000
AMD,2026-08-26T10:10:00-04:00,100.8500,100.8500,100.8075,100.8075,9000
AMD,2026-08-26T10:11:00-04:00,100.8075,100.8325,100.7350,100.7650,9000
AMD,2026-08-26T10:12:00-04:00,100.7650,100.7650,100.7225,100.7225,9000
AMD,2026-08-26T10:13:00-04:00,100.7225,100.7475,100.6500,100.6800,9000
AMD,2026-08-26T10:14:00-04:00,100.6800,100.6800,100.6800,100.6800,9000
AMD,2026-08-26T10:15:00-04:00,100.6800,100.7050,100.6800,100.7050,10000
AMD,2026-08-26T10:16:00-04:00,100.7050,100.7650,100.6650,100.7300,10000
AMD,2026-08-26T10:17:00-04:00,100.7300,100.7550,100.7300,100.7550,10000
AMD,2026-08-26T10:18:00-04:00,100.7550,100.8150,100.7150,100.7800,10000
AMD,2026-08-26T10:19:00-04:00,100.7800,100.7800,100.7800,100.7800,10000
