symbol,ts,open,high,low,close,volume
SPY,2026-08-26T09:30:00-04:00,500.0000,500.0800,499.9500,500.0300,80000
SPY,2026-08-26T09:31:00-04:00,500.0300,500.1100,499.9800,500.0600,80000
SPY,2026-08-26T09:32:00-04:00,500.0600,500.1400,500.0100,500.0900,80000
SPY,2026-08-26T09:33:00-04:00,500.0900,500.1700,500.0400,500.1200,80000
SPY,2026-08-26T09:34:00-04:00,500.1200,500.2000,500.0700,500.1500,80000
SPY,2026-08-26T09:35:00-04:00,500.1500,500.2300,500.1000,500.1800,80000
SPY,2026-08-26T09:36:00-04:00,500.1800,500.2600,500.1300,500.2100,80000
SPY,2026-08-26T09:37:00-04:00,500.2100,500.2900,500.1600,500.2400,80000
SPY,2026-08-26T09:38:00-04:00,500.2400,500.3200,500.1900,500.2700,80000
SPY,2026-08-26T09:39:00-04:00,500.2700,500.3500,500.2200,500.3000,80000
SPY,2026-08-26T09:40:00-04:00,500.3000,500.3800,500.2500,500.3300,80000
SPY,2026-08-26T09:41:00-04:00,500.3300,500.4100,500.2800,500.3600,80000
SPY,2026-08-26T09:42:00-04:00,500.3600,500.4400,500.3100,500.3900,80000
SPY,2026-08-26T09:43:00-04:00,500.3900,500.4700,500.3400,500.4200,80000
SPY,2026-08-26T09:44:00-04:00,500.4200,500.5000,500.3700,500.4500,80000
SPY,2026-08-26T09:45:00-04:00,500.4500,500.5300,500.4000,500.4800,80000
SPY,2026-08-26T09:46:00-04:00,500.4800,500.5600,500.4300,500.5100,80000
SPY,2026-08-26T09:47:00-04:00,500.5100,500.5900,500.4600,500.5400,80000
SPY,2026-08-26T09:48:00-04:00,500.5400,500.6200,500.4900,500.5700,80000
SPY,2026-08-26T09:49:00-04:00,500.5700,500.6500,500.5200,500.6000,80000
SPY,2026-08-26T09:50:00-04:00,500.6000,500.7700,500.5500,500.7200,80000
SPY,2026-08-26T09:51:00-04:00,500.7200,500.8900,500.6700,500.8400,80000
SPY,2026-08-26T09:52:00-04:00,500.8400,501.0100,500.7900,500.9600,80000
SPY,2026-08-26T09:53:00-04:00,500.9600,501.1300,500.9100,501.0800,80000
SPY,2026-08-26T09:54:00-04:00,501.0800,501.2500,501.0300,501.2000,80000
SPY,2026-08-26T09:55:00-04:00,501.2000,501.3700,501.1500,501.3200,80000
SPY,2026-08-26T09:56:00-04:00,501.3200,501.4900,501.2700,501.4400,80000
SPY,2026-08-26T09:57:00-04:00,501.4400,501.6100,501.3900,501.5600,80000
SPY,2026-08-26T09:58:00-04:00,501.5600,501.7300,501.5100,501.6800,80000
SPY,2026-08-26T09:59:00-04:00,501.6800,501.8500,501.6300,501.8000,80000
SPY,2026-08-26T10:00:00-04:00,501.8000,501.9700,501.7500,501.9200,80000
SPY,2026-08-26T10:01:00-04:00,501.9200,502.0900,501.8700,502.0400,80000
SPY,2026-08-26T10:02:00-04:00,502.0400,502.2100,501.9900,502.1600,80000
SPY,2026-08-26T10:03:00-04:00,502.1600,502.3300,502.1100,502.2800,80000
SPY,2026-08-26T10:04:00-04:00,502.2800,502.4500,502.2300,502.4000,80000
SPY,2026-08-26T10:05:00-04:00,502.4000,502.5700,502.3500,502.5200,80000
SPY,2026-08-26T10:06:00-04:00,502.5200,502.6900,502.4700,502.6400,80000
SPY,2026-08-26T10:07:00-04:00,502.6400,502.8100,502.5900,502.7600,80000
SPY,2026-08-26T10:08:00-04:00,502.7600,502.9300,502.7100,502.8800,80000
SPY,2026-08-26T10:09:00-04:00,502.8800,503.0500,502.8300,503.0000,80000
SPY,2026-08-26T10:10:00-04:00,503.0000,503.1700,502.9500,503.1200,80000
SPY,2026-08-26T10:11:00-04:00,503.1200,503.2900,503.0700,503.2400,80000
SPY,2026-08-26T10:12:00-04:00,503.2400,503.4100,503.1900,503.3600,80000
SPY,2026-08-26T10:13:00-04:00,503.3600,503.5300,503.3100,503.4800,80000
SPY,2026-08-26T10:14:00-04:00,503.4800,503.6500,503.4300,503.6000,80000
SPY,2026-08-26T10:15:00-04:00,503.6000,503.7700,503.5500,503.7200,80000
SPY,2026-08-26T10:16:00-04:00,503.7200,503.8900,503.6700,503.8400,80000
SPY,2026-08-26T10:17:00-04:00,503.8400,504.0100,503.7900,503.9600,80000
SPY,2026-08-26T10:18:00-04:00,503.9600,504.1300,503.9100,504.0800,80000
SPY,2026-08-26T10:19:00-04:00,504.0800,504.2500,504.0300,504.2000,80000
SPY,2026-08-26T10:20:00-04:00,504.2000,504.3700,504.1500,504.3200,80000
SPY,2026-08-26T10:21:00-04:00,504.3200,504.4900,504.2700,504.4400,80000
SPY,2026-08-26T10:22:00-04:00,504.4400,504.6100,504.3900,504.5600,80000
SPY,2026-08-26T10:23:00-04:00,504.5600,504.7300,504.5100,504.6800,80000
SPY,2026-08-26T10:24:00-04:00,504.6800,504.8500,504.6300,504.8000,80000
SPY,2026-08-26T10:25:00-04:00,504.8000,504.9700,504.7500,504.9200,80000
SPY,2026-08-26T10:26:00-04:00,504.9200,505.0900,504.8700,505.0400,80000
SPY,2026-08-26T10:27:00-04:00,505.0400,505.2100,504.9900,505.1600,80000
SPY,2026-08-26T10:28:00-04:00,505.1600,505.3300,505.1100,505.2800,80000
SPY,2026-08-26T10:29:00-04:00,505.2800,505.4500,505.2300,505.4000,80000
SPY,2026-08-26T10:30:00-04:00,505.4000,505.5700,505.3500,505.5200,80000
SPY,2026-08-26T10:31:00-04:00,505.5200,505.6900,505.4700,505.6400,80000
SPY,2026-08-26T10:32:00-04:00,505.6400,505.8100,505.5900,505.7600,80000
SPY,2026-08-26T10:33:00-04:00,505.7600,505.9300,505.7100,505.8800,80000
SPY,2026-08-26T10:34:00-04:00,505.8800,506.0500,505.8300,506.0000,80000
SPY,2026-08-26T10:35:00-04:00,506.0000,506.1700,505.9500,506.1200,80000
SPY,2026-08-26T10:36:00-04:00,506.1200,506.2900,506.0700,506.2400,80000
SPY,2026-08-26T10:37:00-04:00,506.2400,506.4100,506.1900,506.3600,80000
SPY,2026-08-26T10:38:00-04:00,506.3600,506.5300,506.3100,506.4800,80000
SPY,2026-08-26T10:39:00-04:00,506.4800,506.6500,506.4300,506.6000,80000
SPY,2026-08-26T10:40:00-04:00,506.6000,506.7700,506.5500,506.7200,80000
SPY,2026-08-26T10:41:00-04:00,506.7200,506.8900,506.6700,506.8400,80000
SPY,2026-08-26T10:42:00-04:00,506.8400,507.0100,506.7900,506.9600,80000
SPY,2026-08-26T10:43:00-04:00,506.9600,507.1300,506.9100,507.0800,80000
SPY,2026-08-26T10:44:00-04:00,507.0800,507.2500,507.0300,507.2000,80000
SPY,2026-08-26T10:45:00-04:00,507.2000,507.3700,507.1500,507.3200,80000
SPY,2026-08-26T10:46:00-04:00,507.3200,507.4900,507.2700,507.4400,80000
SPY,2026-08-26T10:47:00-04:00,507.4400,507.6100,507.3900,507.5600,80000
SPY,2026-08-26T10:48:00-04:00,507.5600,507.7300,507.5100,507.6800,80000
SPY,2026-08-26T10:49:00-04:00,507.6800,507.8500,507.6300,507.8000,80000
