n_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,expectancy,max_drawdown,total_pnl,max_consecutive_losses,window
105,58.1,1.55,3.05,11.18,0.0,-0.0,0.01,5,"WalkForwardWindow(train_start_ts=1743180300, train_end_ts=1753548300, test_start_ts=1753548300, test_end_ts=1755276300)"
86,59.3,1.56,3.12,10.77,0.0,-0.0,0.01,5,"WalkForwardWindow(train_start_ts=1744908300, train_end_ts=1755276300, test_start_ts=1755276300, test_end_ts=1757004300)"
120,45.0,0.79,-1.71,-6.01,-0.0,-0.01,-0.01,7,"WalkForwardWindow(train_start_ts=1746636300, train_end_ts=1757004300, test_start_ts=1757004300, test_end_ts=1758732300)"
105,48.57,1.04,0.3,1.53,0.0,-0.0,0.0,4,"WalkForwardWindow(train_start_ts=1748364300, train_end_ts=1758732300, test_start_ts=1758732300, test_end_ts=1760460300)"
106,50.94,0.99,-0.09,-0.32,-0.0,-0.0,-0.0,6,"WalkForwardWindow(train_start_ts=1750092300, train_end_ts=1760460300, test_start_ts=1760460300, test_end_ts=1762188300)"
88,52.27,1.14,0.96,3.75,0.0,-0.0,0.0,6,"WalkForwardWindow(train_start_ts=1751820300, train_end_ts=1762188300, test_start_ts=1762188300, test_end_ts=1763916300)"
100,54.0,1.1,0.66,2.69,0.0,-0.0,0.0,6,"WalkForwardWindow(train_start_ts=1753548300, train_end_ts=1763916300, test_start_ts=1763916300, test_end_ts=1765644300)"
122,45.08,0.89,-0.84,-3.31,-0.0,-0.01,-0.0,4,"WalkForwardWindow(train_start_ts=1755276300, train_end_ts=1765644300, test_start_ts=1765644300, test_end_ts=1767372300)"
71,53.52,1.31,1.91,7.01,0.0,-0.0,0.0,5,"WalkForwardWindow(train_start_ts=1757004300, train_end_ts=1767372300, test_start_ts=1767372300, test_end_ts=1769100300)"
92,50.0,0.86,-1.06,-2.73,-0.0,-0.01,-0.0,5,"WalkForwardWindow(train_start_ts=1758732300, train_end_ts=1769100300, test_start_ts=1769100300, test_end_ts=1770828300)"
