n_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,expectancy,max_drawdown,total_pnl,max_consecutive_losses,window
120,54.17,1.4,2.36,7.75,0.0,-0.0,0.01,5,"WalkForwardWindow(train_start_ts=1743200400, train_end_ts=1753568400, test_start_ts=1753568400, test_end_ts=1755296400)"
120,40.0,0.8,-1.67,-6.27,-0.0,-0.01,-0.01,7,"WalkForwardWindow(train_start_ts=1744928400, train_end_ts=1755296400, test_start_ts=1755296400, test_end_ts=1757024400)"
102,50.0,1.1,0.69,2.55,0.0,-0.01,0.0,5,"WalkForwardWindow(train_start_ts=1746656400, train_end_ts=1757024400, test_start_ts=1757024400, test_end_ts=1758752400)"
95,52.63,1.27,1.63,5.96,0.0,-0.0,0.01,5,"WalkForwardWindow(train_start_ts=1748384400, train_end_ts=1758752400, test_start_ts=1758752400, test_end_ts=1760480400)"
69,53.62,1.18,1.2,3.78,0.0,-0.0,0.0,4,"WalkForwardWindow(train_start_ts=1750112400, train_end_ts=1760480400, test_start_ts=1760480400, test_end_ts=1762208400)"
64,56.25,1.2,1.31,3.98,0.0,-0.0,0.0,3,"WalkForwardWindow(train_start_ts=1751840400, train_end_ts=1762208400, test_start_ts=1762208400, test_end_ts=1763936400)"
82,48.78,0.9,-0.77,-2.59,-0.0,-0.01,-0.0,4,"WalkForwardWindow(train_start_ts=1753568400, train_end_ts=1763936400, test_start_ts=1763936400, test_end_ts=1765664400)"
58,53.45,1.09,0.63,2.28,0.0,-0.0,0.0,4,"WalkForwardWindow(train_start_ts=1755296400, train_end_ts=1765664400, test_start_ts=1765664400, test_end_ts=1767392400)"
32,50.0,1.03,0.18,0.48,0.0,-0.0,0.0,4,"WalkForwardWindow(train_start_ts=1757024400, train_end_ts=1767392400, test_start_ts=1767392400, test_end_ts=1769120400)"
130,43.08,0.85,-1.16,-4.0,-0.0,-0.01,-0.01,9,"WalkForwardWindow(train_start_ts=1758752400, train_end_ts=1769120400, test_start_ts=1769120400, test_end_ts=1770848400)"
