n_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,expectancy,max_drawdown,total_pnl,max_consecutive_losses,window
104,50.96,0.94,-0.45,-1.47,-0.0,-0.64,-0.18,6,"WalkForwardWindow(train_start_ts=1741087800, train_end_ts=1751455800, test_start_ts=1751455800, test_end_ts=1753183800)"
120,45.0,0.85,-1.2,-3.86,-0.0,-0.87,-0.51,6,"WalkForwardWindow(train_start_ts=1742815800, train_end_ts=1753183800, test_start_ts=1753183800, test_end_ts=1754911800)"
141,41.13,0.74,-2.18,-8.41,-0.01,-1.11,-0.89,8,"WalkForwardWindow(train_start_ts=1744543800, train_end_ts=1754911800, test_start_ts=1754911800, test_end_ts=1756639800)"
203,34.98,0.52,-4.69,-12.91,-0.02,-3.54,-3.6,9,"WalkForwardWindow(train_start_ts=1746271800, train_end_ts=1756639800, test_start_ts=1756639800, test_end_ts=1758367800)"
115,44.35,0.95,-0.32,-1.01,-0.0,-1.22,-0.24,8,"WalkForwardWindow(train_start_ts=1747999800, train_end_ts=1758367800, test_start_ts=1758367800, test_end_ts=1760095800)"
80,63.75,1.64,3.46,10.11,0.03,-0.65,2.4,4,"WalkForwardWindow(train_start_ts=1749727800, train_end_ts=1760095800, test_start_ts=1760095800, test_end_ts=1761823800)"
36,55.56,1.15,1.03,3.09,0.01,-0.36,0.28,2,"WalkForwardWindow(train_start_ts=1751455800, train_end_ts=1761823800, test_start_ts=1761823800, test_end_ts=1763551800)"
15,46.67,0.88,-0.98,-3.81,-0.01,-0.35,-0.12,3,"WalkForwardWindow(train_start_ts=1753183800, train_end_ts=1763551800, test_start_ts=1763551800, test_end_ts=1765279800)"
65,52.31,1.33,1.85,6.43,0.03,-1.8,1.72,4,"WalkForwardWindow(train_start_ts=1754911800, train_end_ts=1765279800, test_start_ts=1765279800, test_end_ts=1767007800)"
87,50.57,1.1,0.64,2.25,0.02,-2.87,1.32,6,"WalkForwardWindow(train_start_ts=1756639800, train_end_ts=1767007800, test_start_ts=1767007800, test_end_ts=1768735800)"
131,53.44,1.27,1.61,3.49,0.09,-7.74,11.53,8,"WalkForwardWindow(train_start_ts=1758367800, train_end_ts=1768735800, test_start_ts=1768735800, test_end_ts=1770463800)"
86,55.81,1.15,1.01,2.99,0.02,-4.28,1.99,6,"WalkForwardWindow(train_start_ts=1760095800, train_end_ts=1770463800, test_start_ts=1770463800, test_end_ts=1772191800)"
